iteration,series,model,train_size,r2,rmse
iteration_1,1,transformer,500,0.41603003054733345,19.66245227116125
iteration_1,2,transformer,500,0.37812125852026013,20.149060771884432
iteration_1,15,transformer,500,0.2097444421171174,20.94197001459199
iteration_1,20,transformer,500,0.5323022309168143,18.17614218548363
iteration_1,25,transformer,500,0.4002803405867569,21.846200483861505
iteration_1,26,transformer,500,0.4464384152200791,16.28379000207882
iteration_1,30,transformer,500,0.39461951899513203,16.197737008903292
iteration_1,33,transformer,500,0.14597587605101903,16.651555753635737
iteration_1,35,transformer,500,0.34917236973421106,23.054412126826442
iteration_1,37,transformer,500,0.21425662873376017,20.52195860954151
iteration_2,1,transformer,500,0.23291399475891605,22.46890575215659
iteration_2,2,transformer,500,0.34909186110427737,20.624903898488466
iteration_2,15,transformer,500,0.3575977606070807,18.908056992433814
iteration_2,20,transformer,500,0.5716857204813321,17.526652416260852
iteration_2,25,transformer,500,0.414163748329366,21.57522943764613
iteration_2,26,transformer,500,0.379154270555741,17.235925535877684
iteration_2,30,transformer,500,0.34911713769011,16.74392712809413
iteration_2,33,transformer,500,0.011186471705535106,17.879094850886553
iteration_2,35,transformer,500,0.36266277087280896,22.768093080762274
iteration_2,37,transformer,500,0.19848600890533485,20.78321707436195
iteration_3,1,transformer,500,0.10970876250978301,24.242676922938333
iteration_3,2,transformer,500,0.45867201293466486,18.85719979267056
iteration_3,15,transformer,500,0.4737767736079266,17.147493075663764
iteration_3,20,transformer,500,0.4349184846695874,20.020530729114835
iteration_3,25,transformer,500,0.38882778014638464,22.060187617713762
iteration_3,26,transformer,500,0.22704863900015015,19.215828922218307
iteration_3,30,transformer,500,0.43601376549707394,15.605170163435059
iteration_3,33,transformer,500,0.10127200729360197,17.065858079816156
iteration_3,35,transformer,500,0.34273699760392096,23.146999329059902
iteration_3,37,transformer,500,0.20608763786067175,20.620991842371655
