iteration,series,model,train_size,r2,rmse
iteration_1,1,cnn,500,0.5986162878068557,16.301302137049817
iteration_1,2,cnn,500,0.6201230205477023,15.747928681353226
iteration_1,15,cnn,500,0.5813526796900463,15.242559950150646
iteration_1,20,cnn,500,0.6777693259112003,15.086986513651706
iteration_1,25,cnn,500,0.6524647305905242,16.630343308903313
iteration_1,26,cnn,500,0.5501316900417874,14.679633797041038
iteration_1,30,cnn,500,0.5353121180364522,14.191255196851676
iteration_1,33,cnn,500,0.30651112298836647,15.005120811655422
iteration_1,35,cnn,500,0.612379432348054,17.791987630201582
iteration_1,37,cnn,500,0.532216780924249,15.834369076304291
iteration_2,1,cnn,500,0.508948899384256,17.977249139876488
iteration_2,2,cnn,500,0.5915859505522694,16.337380327538618
iteration_2,15,cnn,500,0.5331839157139973,16.11819053311363
iteration_2,20,cnn,500,0.7038982039995572,14.57263938519259
iteration_2,25,cnn,500,0.6376533852050343,16.967951172738307
iteration_2,26,cnn,500,0.46513047583152345,15.99803662681004
iteration_2,30,cnn,500,0.5585253495204465,13.78982619879432
iteration_2,33,cnn,500,0.4178873211697043,13.718033463466734
iteration_2,35,cnn,500,0.6861048163267046,15.978438679337835
iteration_2,37,cnn,500,0.4915135662527068,16.55376955652162
iteration_3,1,cnn,500,0.4804940371604547,18.518669998562824
iteration_3,2,cnn,500,0.6782123038612644,14.538904342469033
iteration_3,15,cnn,500,0.6601339315794625,13.780644630371334
iteration_3,20,cnn,500,0.7206407261702573,14.076723564582064
iteration_3,25,cnn,500,0.6555082860578898,16.562152875074798
iteration_3,26,cnn,500,0.46267686566523836,16.021412792208686
iteration_3,30,cnn,500,0.5988002572613172,13.161778555564174
iteration_3,33,cnn,500,0.3542293287181493,14.466156320053637
iteration_3,35,cnn,500,0.6469746322741712,16.963992153817856
iteration_3,37,cnn,500,0.5797374778905944,15.003189663641276
