iteration,series,model,train_size,r2,rmse
iteration_1,1,transformer,250,0.32201390043074285,21.186187877110854
iteration_1,1,transformer,500,0.41603003054733345,19.66245227116125
iteration_1,1,transformer,1000,0.5276477327454564,17.683793158888008
iteration_1,1,transformer,2000,0.5612763248589214,17.04268275972341
iteration_1,2,transformer,250,0.21667643336012843,22.61374796702567
iteration_1,2,transformer,500,0.37812125852026013,20.149060771884432
iteration_1,2,transformer,1000,0.5211153919116529,17.681430183404668
iteration_1,2,transformer,2000,0.6134078560574499,15.886508645185998
iteration_1,15,transformer,250,0.24004423385417573,20.53657006607104
iteration_1,15,transformer,500,0.2097444421171174,20.94197001459199
iteration_1,15,transformer,1000,0.4369633625503502,17.676736245571657
iteration_1,15,transformer,2000,0.518415927786589,16.348195076315083
iteration_1,20,transformer,250,0.5097821042764822,18.608597526787214
iteration_1,20,transformer,500,0.5323022309168143,18.17614218548363
iteration_1,20,transformer,1000,0.6076777442842669,16.647174616544813
iteration_1,20,transformer,2000,0.6749325396662927,15.153250802553254
iteration_1,25,transformer,250,0.15089737511846313,25.994523672315218
iteration_1,25,transformer,500,0.40028035378091187,21.846200243547425
iteration_1,25,transformer,1000,0.4261590304096424,21.36965682336354
iteration_1,25,transformer,2000,0.569336604025596,18.512742157100604
iteration_1,26,transformer,250,0.1998098592886567,19.578035833440975
iteration_1,26,transformer,500,0.4464384152200791,16.28379000207882
iteration_1,26,transformer,1000,0.5178089725306974,15.197847538468682
iteration_1,26,transformer,2000,0.5913015505892769,13.991813768535108
iteration_1,30,transformer,250,0.13931805788755713,19.313522145114913
iteration_1,30,transformer,500,0.39461958853108414,16.197736078641142
iteration_1,30,transformer,1000,0.4681925324760988,15.181593266467472
iteration_1,30,transformer,2000,0.5685110904656407,13.674925062688304
iteration_1,33,transformer,250,-0.04170029218977289,18.390398479885025
iteration_1,33,transformer,500,0.14597587605101903,16.651555753635737
iteration_1,33,transformer,1000,0.13811555672032005,16.72800954138134
iteration_1,33,transformer,2000,0.22469280305919914,15.865605608405032
iteration_1,35,transformer,250,0.3133848276539284,23.679785240690173
iteration_1,35,transformer,500,0.34917236973421106,23.054412126826442
iteration_1,35,transformer,1000,0.4667167351926358,20.86892310873881
iteration_1,35,transformer,2000,0.6332898543549665,17.30543514718358
iteration_1,37,transformer,250,0.1322595134079908,21.56618741057286
iteration_1,37,transformer,500,0.21425662873376017,20.52195860954151
iteration_1,37,transformer,1000,0.4235803358439305,17.57712488684375
iteration_1,37,transformer,2000,0.5408668084549035,15.687285094467
iteration_2,1,transformer,250,0.1093857964661753,24.21055254804399
iteration_2,1,transformer,500,0.23291399475891605,22.46890575215659
iteration_2,1,transformer,1000,0.3954715424210642,19.94657193803834
iteration_2,1,transformer,2000,0.5782829820641127,16.65982580912302
iteration_2,2,transformer,250,0.22156504098712526,22.555021657729714
iteration_2,2,transformer,500,0.34909186110427737,20.624903898488466
iteration_2,2,transformer,1000,0.5289028522748724,17.546371493949756
iteration_2,2,transformer,2000,0.5435182794547362,17.27204569409991
iteration_2,15,transformer,250,0.012060828902847653,23.4481445217357
iteration_2,15,transformer,500,0.3575977606070807,18.908056992433814
iteration_2,15,transformer,1000,0.4928665805051232,16.799814836602547
iteration_2,15,transformer,2000,0.5127262467115365,16.467584062431808
iteration_2,20,transformer,250,0.5414093664466684,18.135531470409607
iteration_2,20,transformer,500,0.5716857204813321,17.526652416260852
iteration_2,20,transformer,1000,0.6163960513260693,16.58667104743203
iteration_2,20,transformer,2000,0.6789612043378115,15.173873387344962
iteration_2,25,transformer,250,0.2568976868819042,24.299179444297565
iteration_2,25,transformer,500,0.41416373887422786,21.57522961175346
iteration_2,25,transformer,1000,0.43617513234257144,21.16603037054904
iteration_2,25,transformer,2000,0.5933376307677443,17.975637229338
iteration_2,26,transformer,250,0.31894299502941914,18.052381055876044
iteration_2,26,transformer,500,0.379154270555741,17.235925535877684
iteration_2,26,transformer,1000,0.28727654536928104,18.46729495043895
iteration_2,26,transformer,2000,0.5605225804941816,14.50143709328793
iteration_2,30,transformer,250,0.30084237954073856,17.353754714288034
iteration_2,30,transformer,500,0.34911713769011,16.74392712809413
iteration_2,30,transformer,1000,0.44065049359291675,15.521994901065964
iteration_2,30,transformer,2000,0.5393368894805046,14.086322421195604
iteration_2,33,transformer,250,-0.0019057343456925224,17.997068089329705
iteration_2,33,transformer,500,0.011186471705535106,17.879094850886553
iteration_2,33,transformer,1000,0.17815277490512904,16.299860034899943
iteration_2,33,transformer,2000,0.3226188250528319,14.798063620580134
iteration_2,35,transformer,250,0.21138414187169785,25.32647613280144
iteration_2,35,transformer,500,0.36266277087280896,22.768093080762274
iteration_2,35,transformer,1000,0.48003435900489766,20.56502953732055
iteration_2,35,transformer,2000,0.6036976840046944,17.953756034781897
iteration_2,37,transformer,250,0.12755497321869602,21.683343785720478
iteration_2,37,transformer,500,0.19848600890533485,20.78321707436195
iteration_2,37,transformer,1000,0.33104681706495565,18.98694455072434
iteration_2,37,transformer,2000,0.4537305970333593,17.157762731551056
iteration_3,1,transformer,250,0.15320384629997097,23.64307515077758
iteration_3,1,transformer,500,0.10970876250978301,24.242676922938333
iteration_3,1,transformer,1000,0.36831224771042104,20.420470889160182
iteration_3,1,transformer,2000,0.5605712312027193,17.03173014407099
iteration_3,2,transformer,250,0.29298226747666634,21.550736415095887
iteration_3,2,transformer,500,0.45867204859893584,18.857199171486812
iteration_3,2,transformer,1000,0.47422934053532617,18.584254118196228
iteration_3,2,transformer,2000,0.6464682387415228,15.239165316874164
iteration_3,15,transformer,250,0.17850723225331733,21.42483578259334
iteration_3,15,transformer,500,0.4737767736079266,17.147493075663764
iteration_3,15,transformer,1000,0.5706476824434106,15.48896988533136
iteration_3,15,transformer,2000,0.5872088171070777,15.18730923208086
iteration_3,20,transformer,250,0.4319640853513921,20.072798880606474
iteration_3,20,transformer,500,0.4349184846695874,20.020530729114835
iteration_3,20,transformer,1000,0.6275607273179511,16.253532743327533
iteration_3,20,transformer,2000,0.6164756059269592,16.493640783726846
iteration_3,25,transformer,250,0.2953274223513309,23.687601296424194
iteration_3,25,transformer,500,0.38882778014638464,22.060187617713762
iteration_3,25,transformer,1000,0.515336426386393,19.644798972798387
iteration_3,25,transformer,2000,0.5800044739642082,18.28730595755334
iteration_3,26,transformer,250,0.11684743968659139,20.54002210383306
iteration_3,26,transformer,500,0.22704863900015015,19.215828922218307
iteration_3,26,transformer,1000,0.42083256368043476,16.63355613909898
iteration_3,26,transformer,2000,0.5080953551736206,15.329341599968869
iteration_3,30,transformer,250,0.18392209929105963,18.771547008659304
iteration_3,30,transformer,500,0.43601376549707394,15.605170163435059
iteration_3,30,transformer,1000,0.5037937559103465,14.637448132244149
iteration_3,30,transformer,2000,0.5053225807450423,14.614881550332996
iteration_3,33,transformer,250,-0.005368631581059935,18.049977323214417
iteration_3,33,transformer,500,0.10127200729360197,17.065858079816156
iteration_3,33,transformer,1000,0.1523005812339604,16.574290173178895
iteration_3,33,transformer,2000,0.26117238493516226,15.473392964574568
iteration_3,35,transformer,250,0.16500978822492685,26.089502529074625
iteration_3,35,transformer,500,0.34273699760392096,23.146999329059902
iteration_3,35,transformer,1000,0.4725106808720466,20.7363321653341
iteration_3,35,transformer,2000,0.559877291629368,18.941396457568246
iteration_3,37,transformer,250,0.07567950175842897,22.250232854900556
iteration_3,37,transformer,500,0.20608763786067175,20.620991842371655
iteration_3,37,transformer,1000,0.295349346464567,19.427199397894086
iteration_3,37,transformer,2000,0.4219166259985839,17.596184528443743
